Delivery Date,Delivery Hour,Settlement Point Name,Settlement Point Price
10/24/2020,15,LZ_NORTH,18.66
10/8/2020,13,LZ_SOUTH,20.97
10/11/2020,8,LZ_SOUTH,2.6075
10/14/2020,24,LZ_NORTH,16.55
10/25/2020,17,LZ_WEST,-0.21
10/8/2020,16,LZ_NORTH,55.9
10/7/2020,17,LZ_SOUTH,234.225
10/10/2020,1,LZ_SOUTH,13.32
10/23/2020,14,LZ_WEST,-2.72
10/8/2020,11,LZ_HOUSTON,18.4825
10/7/2020,4,LZ_WEST,11.595
10/24/2020,1,LZ_WEST,34.9775
10/23/2020,6,LZ_WEST,-1.4475
10/16/2020,13,LZ_HOUSTON,18.24
10/31/2020,14,LZ_SOUTH,17.1175
10/5/2020,21,LZ_NORTH,11.18
10/29/2020,1,LZ_HOUSTON,17.9475
10/21/2020,4,LZ_SOUTH,17.8225
10/11/2020,12,LZ_HOUSTON,19.985
10/3/2020,17,LZ_NORTH,34.6175
10/25/2020,12,LZ_NORTH,19.355
10/4/2020,5,LZ_NORTH,10.48
10/4/2020,12,LZ_HOUSTON,17.01
10/25/2020,21,LZ_HOUSTON,18.6725
10/8/2020,3,LZ_NORTH,9.9275
10/8/2020,8,LZ_WEST,16.4725
10/30/2020,17,LZ_HOUSTON,23.2225
10/10/2020,20,LZ_SOUTH,21.7575
10/6/2020,9,LZ_SOUTH,14.6375
10/30/2020,5,LZ_HOUSTON,27.805
10/18/2020,9,LZ_HOUSTON,15.205
10/16/2020,7,LZ_NORTH,19.18
10/14/2020,16,LZ_HOUSTON,41.0525
10/29/2020,22,LZ_NORTH,29.7975
10/7/2020,11,LZ_HOUSTON,16.29
10/21/2020,12,LZ_SOUTH,33.0475
10/31/2020,5,LZ_HOUSTON,28.7475
10/16/2020,14,LZ_HOUSTON,18.6025
10/22/2020,22,LZ_NORTH,25.1
10/18/2020,11,LZ_SOUTH,17.1675
10/10/2020,24,LZ_SOUTH,15.3325
10/23/2020,13,LZ_SOUTH,129.345
10/1/2020,15,LZ_HOUSTON,17.9475
10/27/2020,8,LZ_HOUSTON,51.4375
10/24/2020,10,LZ_SOUTH,20.2425
